# time (s), x1 (pixels), y1 (pixels), x1 error (pixels), y1 error (pixels), x2 (pixels), y2 (pixels), x2 error (pixels), y2 error (pixels), angle1 (the smaller arm) (rad), angle2 (the larger arm) (rad), angle1 error (rad), angle2 error (rad), kinetic energy (J), kinetic energy error (J), potential energy (J), potential energy error (J)
2.001428,-201.228609,378.951691,11.669072,9.870678,nan,nan,nan,nan,2.653443,nan,0.026332,nan,0.010217,0.011662,0.109248,0.001575
2.006115,-206.071375,376.617994,11.706992,9.858356,nan,nan,nan,nan,2.640930,nan,0.026340,nan,0.010607,0.010061,0.108367,0.001604
2.010801,-211.536269,373.585297,11.576194,10.037249,nan,nan,nan,nan,2.626372,nan,0.026139,nan,0.011122,0.008696,0.107502,0.001637
2.015496,-216.505111,370.237677,11.538045,9.996776,nan,nan,nan,nan,2.612444,nan,0.026033,nan,0.011529,0.008063,0.106550,0.001657
2.020182,-221.995371,366.928237,11.309146,10.216343,nan,nan,nan,nan,2.597497,nan,0.025712,nan,0.013106,0.012987,0.105511,0.001698
2.024868,-227.221175,362.421668,11.393059,9.841891,nan,nan,nan,nan,2.581591,nan,0.025663,nan,0.020520,0.016201,0.104425,0.001741
2.029555,-233.285411,359.033585,11.394089,9.947105,nan,nan,nan,nan,2.565387,nan,0.025655,nan,0.036000,0.021205,0.103328,0.001752
2.034241,-238.908220,355.135403,11.128874,10.002460,nan,nan,nan,nan,2.549408,nan,0.025211,nan,0.043334,0.023075,0.102099,0.001819
2.038928,-244.960715,350.758746,11.284853,10.120474,nan,nan,nan,nan,2.531959,nan,0.025517,nan,0.040659,0.022596,0.099496,0.001895
2.043614,-257.194303,341.682057,11.113234,10.279931,nan,nan,nan,nan,2.496347,nan,0.025299,nan,0.030056,0.019272,0.096495,0.001947
2.048301,-269.938883,330.880472,10.862480,10.087967,nan,nan,nan,nan,2.457280,nan,0.024729,nan,0.023448,0.016781,0.094980,0.001990
2.052987,-276.780111,326.386117,11.007652,9.942958,nan,nan,nan,nan,2.438252,nan,0.024712,nan,0.025197,0.017343,0.093253,0.002076
2.057673,-283.646102,320.471804,11.166823,10.224407,nan,nan,nan,nan,2.417077,nan,0.025149,nan,0.026175,0.017764,0.091200,0.002113
2.062368,-290.709301,312.653601,10.985007,10.222958,nan,nan,nan,nan,2.392548,nan,0.024919,nan,0.026936,0.017972,0.089343,0.002140
2.067054,-297.294856,306.166879,10.868346,10.153575,nan,nan,nan,nan,2.370895,nan,0.024669,nan,0.029879,0.018858,0.087341,0.002171
2.071741,-304.208437,299.314113,10.674480,10.202137,nan,nan,nan,nan,2.348085,nan,0.024456,nan,0.032833,0.019627,0.085170,0.002219
2.076427,-311.527854,292.035260,10.443391,10.418520,nan,nan,nan,nan,2.323910,nan,0.024426,nan,0.035130,0.020370,0.082885,0.002280
2.081114,-318.428674,283.965855,10.665810,10.307021,nan,nan,nan,nan,2.299047,nan,0.024534,nan,0.037782,0.021097,0.080357,0.002339
2.085800,-326.120832,275.456299,10.590712,10.423906,nan,nan,nan,nan,2.272173,nan,0.024582,nan,0.039155,0.021419,0.077721,0.002369
2.090486,-333.635488,266.489158,10.449171,10.363795,nan,nan,nan,nan,2.244771,nan,0.024349,nan,0.041199,0.021925,0.075028,0.002447
2.095173,-340.498813,257.025326,10.482792,10.511567,nan,nan,nan,nan,2.217394,nan,0.024615,nan,0.065194,0.027620,0.072061,0.002473
2.099859,-347.642046,246.649276,10.383729,10.376252,nan,nan,nan,nan,2.187864,nan,0.024349,nan,0.080905,0.030963,0.069156,0.002513
2.104546,-354.555487,236.754765,10.394351,10.321900,nan,nan,nan,nan,2.159549,nan,0.024263,nan,0.087232,0.032071,0.065956,0.002569
2.109232,-361.389001,225.647747,10.352165,10.366357,nan,nan,nan,nan,2.128957,nan,0.024322,nan,0.079305,0.030444,0.059073,0.002655
2.113927,-374.812875,201.964499,9.979936,10.404852,nan,nan,nan,nan,2.065032,nan,0.024217,nan,0.059767,0.026576,0.055445,0.002780
2.118613,-380.831701,189.357233,9.986722,10.752543,nan,nan,nan,nan,2.032218,nan,0.024935,nan,0.063898,0.027784,0.051518,0.002796
2.123300,-387.331089,176.002536,10.046429,10.582828,nan,nan,nan,nan,1.997302,nan,0.024664,nan,0.066952,0.028320,0.047480,0.002811
2.127986,-393.348914,162.223375,9.991813,10.455633,nan,nan,nan,nan,1.961960,nan,0.024418,nan,0.070526,0.028897,0.043286,0.002888
2.132672,-398.899079,147.871645,10.045669,10.584038,nan,nan,nan,nan,1.925791,nan,0.024729,nan,0.074286,0.029641,0.038815,0.002920
2.137359,-403.920879,132.494308,9.800166,10.560766,nan,nan,nan,nan,1.887758,nan,0.024675,nan,0.080147,0.030747,0.034310,0.002964
2.142045,-408.513964,117.079514,9.816586,10.576449,nan,nan,nan,nan,1.849913,nan,0.024757,nan,0.085364,0.031615,0.029570,0.002970
2.146732,-412.644296,100.865501,9.874205,10.460458,nan,nan,nan,nan,1.810532,nan,0.024549,nan,0.090039,0.032365,0.024656,0.002963
2.151418,-416.703204,84.167187,9.897903,10.334451,nan,nan,nan,nan,1.770098,nan,0.024270,nan,0.092970,0.032788,0.019232,0.002989
2.156105,-419.433601,65.559765,9.797064,10.323856,nan,nan,nan,nan,1.725847,nan,0.024290,nan,0.141314,0.040429,0.014058,0.002976
2.160799,-421.877557,47.929323,9.820975,10.218137,nan,nan,nan,nan,1.683921,nan,0.024054,nan,0.239133,0.051701,0.008560,0.003007
2.165485,-423.475643,29.177813,9.709635,10.275391,nan,nan,nan,nan,1.639588,nan,0.024201,nan,0.280950,0.056247,0.003103,0.003019
2.170172,-424.237088,10.572438,9.638952,10.292894,nan,nan,nan,nan,1.595712,nan,0.024254,nan,0.255643,0.053442,-0.008582,0.003016
2.174858,-423.566527,-29.260494,9.681708,10.310055,nan,nan,nan,nan,1.501825,nan,0.024276,nan,0.172836,0.043841,-0.020524,0.002879
