# time (s), x1 (pixels), y1 (pixels), x1 error (pixels), y1 error (pixels), x2 (pixels), y2 (pixels), x2 error (pixels), y2 error (pixels), angle1 (the smaller arm) (rad), angle2 (the larger arm) (rad), angle1 error (rad), angle2 error (rad)
0.374530,-135.405315,-385.135351,9.609195,8.579711,nan,nan,nan,nan,0.338080,nan,0.023274,nan
0.375114,-159.178760,-376.185569,9.927296,8.791295,nan,nan,nan,nan,0.400293,nan,0.023902,nan
0.375699,-206.838680,-352.909574,9.318398,9.131739,nan,nan,nan,nan,0.530133,nan,0.022664,nan
0.376283,-227.807951,-339.019747,9.460228,9.477260,nan,nan,nan,nan,0.591659,nan,0.023174,nan
0.376867,-247.695030,-324.599404,9.465789,8.796190,nan,nan,nan,nan,0.651819,nan,0.022593,nan
0.377452,-267.169975,-309.662235,9.723034,8.948096,nan,nan,nan,nan,0.711866,nan,0.022984,nan
0.378036,-285.894745,-293.763139,9.205574,9.232298,nan,nan,nan,nan,0.771825,nan,0.022489,nan
0.378620,-302.034232,-275.737568,9.059419,9.902883,nan,nan,nan,nan,0.830881,nan,0.023299,nan
0.379204,-318.300272,-256.764854,9.376113,9.608697,nan,nan,nan,nan,0.891999,nan,0.023273,nan
0.379789,-332.562251,-238.083347,9.724974,9.479648,nan,nan,nan,nan,0.949475,nan,0.023383,nan
0.380373,-344.825847,-219.027334,9.053616,9.562987,nan,nan,nan,nan,1.004908,nan,0.023058,nan
0.380957,-356.667422,-199.281984,9.124688,9.128529,nan,nan,nan,nan,1.061273,nan,0.022341,nan
0.381542,-367.296157,-178.996557,9.116242,9.197203,nan,nan,nan,nan,1.117331,nan,0.022472,nan
0.382126,-384.283088,-138.722489,9.233911,9.407637,nan,nan,nan,nan,1.224364,nan,0.022978,nan
0.382710,-396.808095,-97.881671,9.211785,9.584980,nan,nan,nan,nan,1.328952,nan,0.023401,nan
0.383294,-400.837723,-78.158541,9.139369,9.645325,nan,nan,nan,nan,1.378225,nan,0.023574,nan
0.383879,-404.532030,-58.754415,9.121582,9.672669,nan,nan,nan,nan,1.426564,nan,0.023635,nan
0.384463,-407.051134,-38.823365,9.298452,9.561750,nan,nan,nan,nan,1.475707,nan,0.023378,nan
0.385047,-408.164104,-19.778140,9.304915,9.658250,nan,nan,nan,nan,1.522378,nan,0.023633,nan
0.385632,-408.465422,-1.259159,9.224013,9.543998,nan,nan,nan,nan,1.567714,nan,0.023365,nan
0.386216,-408.425300,16.598239,9.188137,9.709615,nan,nan,nan,nan,1.611414,nan,0.023752,nan
0.386800,-407.228832,34.705004,8.983098,9.774636,nan,nan,nan,nan,1.655813,nan,0.023903,nan
0.387384,-405.402460,51.655711,9.067595,9.734232,nan,nan,nan,nan,1.697532,nan,0.023794,nan
0.387969,-403.093777,69.282773,9.371215,9.689599,nan,nan,nan,nan,1.741011,nan,0.023669,nan
0.388553,-400.139138,85.733398,9.216134,9.723952,nan,nan,nan,nan,1.781864,nan,0.023709,nan
0.389137,-392.592276,116.202372,9.146334,10.003263,nan,nan,nan,nan,1.858568,nan,0.024270,nan
0.389722,-388.366667,130.644519,9.445333,9.793320,nan,nan,nan,nan,1.895300,nan,0.023816,nan
0.390306,-378.100376,157.826528,9.464970,9.790915,nan,nan,nan,nan,1.966229,nan,0.023780,nan
0.390890,-372.684349,170.760132,9.297592,9.838976,nan,nan,nan,nan,2.000440,nan,0.023777,nan
0.391475,-367.065319,182.995859,9.461075,9.715215,nan,nan,nan,nan,2.033273,nan,0.023565,nan
0.392059,-361.269918,194.418457,9.357622,9.850258,nan,nan,nan,nan,2.064498,nan,0.023745,nan
0.392643,-355.093753,205.833505,9.536410,9.595590,nan,nan,nan,nan,2.096125,nan,0.023343,nan
0.393227,-348.824696,216.261137,9.556330,9.681213,nan,nan,nan,nan,2.125771,nan,0.023504,nan
0.393812,-342.372500,225.263473,9.644892,9.795705,nan,nan,nan,nan,2.152739,nan,0.023791,nan
0.394396,-336.132968,235.278939,9.890090,9.394714,nan,nan,nan,nan,2.181494,nan,0.023301,nan
0.394980,-329.641240,244.463357,9.714238,9.656441,nan,nan,nan,nan,2.208902,nan,0.023580,nan
0.395565,-323.360723,253.116064,9.574619,9.500454,nan,nan,nan,nan,2.234941,nan,0.023204,nan
0.396149,-316.706763,261.575837,9.907038,9.672886,nan,nan,nan,nan,2.261146,nan,0.023781,nan
0.396733,-310.177645,269.494937,9.654886,9.609475,nan,nan,nan,nan,2.286127,nan,0.023434,nan
0.397317,-304.105358,276.878734,10.067150,9.639501,nan,nan,nan,nan,2.309366,nan,0.023915,nan
0.397902,-291.097163,290.390141,9.964691,9.584800,nan,nan,nan,nan,2.354979,nan,0.023776,nan
0.398486,-278.185112,302.796520,10.121102,9.448601,nan,nan,nan,nan,2.398531,nan,0.023880,nan
0.399070,-272.468691,308.270947,10.141026,9.475823,nan,nan,nan,nan,2.417766,nan,0.023953,nan
0.399655,-266.665005,313.435628,9.990530,9.327127,nan,nan,nan,nan,2.436645,nan,0.023613,nan
0.400239,-260.842102,318.822002,10.253842,9.274240,nan,nan,nan,nan,2.455886,nan,0.023967,nan
0.400823,-255.155418,323.352955,10.230037,9.288405,nan,nan,nan,nan,2.473538,nan,0.023985,nan
0.401407,-249.226206,327.571488,10.146928,9.441677,nan,nan,nan,nan,2.491196,nan,0.024038,nan
0.401992,-243.414437,331.939977,10.026758,9.434380,nan,nan,nan,nan,2.508860,nan,0.023866,nan
0.402576,-238.324125,336.053911,10.353442,9.283836,nan,nan,nan,nan,2.524729,nan,0.024293,nan
0.403160,-232.933798,340.730477,10.514575,9.300520,nan,nan,nan,nan,2.541938,nan,0.024576,nan
0.403745,-227.951531,344.209112,10.706291,9.122699,nan,nan,nan,nan,2.556656,nan,0.024826,nan
0.404329,-223.365281,347.430628,10.684458,9.152032,nan,nan,nan,nan,2.570221,nan,0.024840,nan
0.404913,-217.998534,350.478562,10.668991,9.176172,nan,nan,nan,nan,2.585152,nan,0.024893,nan
0.405497,-209.558916,355.904568,10.639590,9.008997,nan,nan,nan,nan,2.609444,nan,0.024804,nan
0.406082,-201.046909,361.149021,10.640383,9.020125,nan,nan,nan,nan,2.633630,nan,0.024871,nan
0.406666,-197.113686,363.492435,10.868742,9.030377,nan,nan,nan,nan,2.644698,nan,0.025343,nan
0.407250,-189.033513,367.633129,10.943980,9.048983,nan,nan,nan,nan,2.666657,nan,0.025583,nan
0.407835,-186.191595,369.291121,10.877325,9.101535,nan,nan,nan,nan,2.674601,nan,0.025489,nan
0.408419,-182.627693,371.288972,10.885951,8.977897,nan,nan,nan,nan,2.684466,nan,0.025476,nan
0.409003,-179.357235,371.639259,10.635767,8.888635,nan,nan,nan,nan,2.691953,nan,0.025029,nan
0.409588,-176.352387,373.232761,10.777065,8.984154,nan,nan,nan,nan,2.700186,nan,0.025370,nan
0.410172,-173.376417,374.781807,10.810431,8.976768,nan,nan,nan,nan,2.708305,nan,0.025453,nan
0.410756,-171.013430,375.985744,11.071476,9.126101,nan,nan,nan,nan,2.714721,nan,0.026057,nan
0.411340,-168.273937,377.453612,10.616419,9.032096,nan,nan,nan,nan,2.722226,nan,0.025094,nan
0.411925,-165.588602,378.498853,10.880501,9.129576,nan,nan,nan,nan,2.729193,nan,0.025703,nan
0.412509,-163.361675,379.654785,10.938766,9.000140,nan,nan,nan,nan,2.735250,nan,0.025790,nan
0.413093,-160.741088,380.636547,10.815372,9.138035,nan,nan,nan,nan,2.742015,nan,0.025603,nan
