# time (s), x1 (pixels), y1 (pixels), x1 error (pixels), y1 error (pixels), x2 (pixels), y2 (pixels), x2 error (pixels), y2 error (pixels), angle1 (the smaller arm) (rad), angle2 (the larger arm) (rad), angle1 error (rad), angle2 error (rad), kinetic energy (J), kinetic energy error (J), potential energy (J), potential energy error (J)
2.998030,-153.019480,96.459541,7.304163,6.816131,1.164467,-8.634986,2.675956,2.030713,2.169078,6.149139,0.039284,0.305952,0.002732,0.007041,0.043398,0.002526
3.002205,-153.445944,95.245477,7.433423,6.693913,1.235268,-8.661189,2.634228,2.033063,2.162308,6.141520,0.039092,0.299879,0.002995,0.006229,0.042711,0.002491
3.006381,-154.297966,93.421893,7.069383,6.619964,1.164467,-8.634986,2.675956,2.030713,2.151708,6.149139,0.038294,0.305952,0.003417,0.005571,0.042288,0.002555
3.010556,-155.046877,92.213257,7.368613,6.681106,1.011362,-8.792132,2.725302,2.120981,2.145221,6.168658,0.039108,0.307146,0.004126,0.005628,0.041445,0.002595
3.014732,-156.658604,91.651298,7.611467,6.737852,1.149317,-7.635100,2.675956,2.030713,2.132381,6.133776,0.039392,0.344944,0.005700,0.010163,0.040668,0.002581
3.018907,-157.457924,89.594915,7.348465,6.718547,1.277509,-7.688562,2.614034,2.035437,2.120622,6.118532,0.038895,0.333613,0.006615,0.010876,0.039809,0.002565
3.023083,-158.968929,87.700741,7.392797,6.586423,1.277509,-7.688562,2.614034,2.035437,2.107728,6.118532,0.038361,0.333613,0.007849,0.011724,0.038695,0.002624
3.027258,-160.259721,84.808188,7.303809,6.741562,1.267665,-7.752901,2.596300,2.085192,2.091154,6.121111,0.038861,0.328961,0.008472,0.012293,0.037782,0.002658
3.031434,-161.632016,82.389704,7.418147,6.723945,1.085794,-7.964823,2.645803,2.200563,2.077687,6.147697,0.039069,0.328215,0.009915,0.013310,0.036630,0.002678
3.035609,-163.465291,79.745600,7.315743,6.774681,1.020200,-7.996724,2.607120,2.200622,2.060833,6.156294,0.039000,0.322657,0.011204,0.013973,0.035290,0.002665
3.039785,-165.146360,76.599187,7.461112,6.611949,1.025909,-7.938904,2.625138,2.164324,2.041410,6.154672,0.038421,0.327077,0.012851,0.014801,0.034120,0.002722
3.043960,-166.263198,73.573772,7.292140,6.800008,1.072117,-8.048205,2.645204,2.099185,2.024616,6.150753,0.038909,0.324739,0.015018,0.016084,0.032685,0.002731
3.048136,-168.213603,70.377066,7.368779,6.734281,1.025909,-7.938904,2.625138,2.164324,2.004204,6.154672,0.038670,0.327077,0.016850,0.017064,0.031119,0.002693
3.052311,-169.733082,66.614750,7.485777,6.594281,1.188452,-7.946562,2.592314,1.891609,1.982141,6.134730,0.037757,0.320976,0.018515,0.017642,0.029419,0.002693
3.056487,-171.421038,62.414315,7.560151,6.478704,1.387243,-8.142409,2.879622,1.973135,1.958433,6.114433,0.037373,0.346015,0.019773,0.018324,0.027710,0.002730
3.060662,-173.024675,58.221253,7.613153,6.487590,1.238898,-8.175364,2.802825,2.115692,1.934828,6.132789,0.037539,0.337327,0.022139,0.019299,0.025783,0.002800
3.064838,-174.891472,53.694216,7.546486,6.712423,1.324228,-8.177967,2.853556,1.966577,1.908465,6.122652,0.038125,0.342127,0.024539,0.020318,0.023827,0.002791
3.069014,-176.488972,48.942940,7.517034,6.627521,1.299057,-8.233308,2.840909,2.003452,1.881948,6.126695,0.037672,0.338747,0.027273,0.021345,0.021857,0.002885
3.073189,-177.801190,44.259053,7.135699,6.842374,0.964437,-8.049837,2.613051,2.098698,1.855461,6.163945,0.038617,0.321494,0.029447,0.022262,0.019533,0.002835
3.077365,-179.589427,38.933416,7.246741,6.641261,1.370538,-7.984062,2.840018,2.150078,1.824480,6.113183,0.037626,0.348435,0.031371,0.022821,0.017164,0.002838
3.081540,-180.909542,33.290201,7.128110,6.621971,1.394943,-7.929108,2.851056,2.113913,1.793159,6.109040,0.037389,0.351728,0.033271,0.023413,0.014725,0.002853
3.085716,-181.810540,27.371568,7.315169,6.600372,1.394943,-7.929108,2.851056,2.113913,1.761147,6.109040,0.037334,0.351728,0.035901,0.024450,0.012283,0.002845
3.089891,-183.365603,20.415173,7.338564,6.544559,1.055682,-9.061324,3.076765,2.136099,1.729288,6.167204,0.037016,0.336096,0.038905,0.025324,0.009523,0.002895
3.094067,-183.937159,14.580144,7.309951,6.614046,0.668154,-8.178367,3.328267,2.149923,1.693459,6.201669,0.037484,0.404824,0.042655,0.026673,0.006871,0.002889
3.098242,-185.099749,8.305651,7.282539,6.607189,0.709726,-8.163965,3.263064,2.131060,1.659202,6.196469,0.037263,0.397332,0.047367,0.028023,0.003971,0.002950
3.102418,-184.826324,1.346252,7.422677,6.720284,0.693533,-8.131835,3.340067,2.121993,1.621841,6.198105,0.037954,0.408372,0.050286,0.029377,0.000998,0.002919
3.106593,-185.692749,-6.877821,6.989538,6.677068,0.718265,-9.269091,3.234331,2.074798,1.583624,6.205850,0.037506,0.347283,0.052546,0.030200,-0.002302,0.002937
3.110769,-185.557284,-14.723683,7.364224,6.707804,0.523390,-9.217716,3.337059,2.093580,1.541216,6.226465,0.037752,0.361092,0.054948,0.030974,-0.005563,0.002908
3.114944,-185.360706,-22.448980,7.356086,6.673070,0.885247,-9.103384,3.107575,2.078162,1.499263,6.186246,0.037460,0.338881,0.060121,0.032241,-0.008781,0.002985
3.119120,-184.623041,-30.299723,7.127019,6.873595,0.509758,-9.277314,3.299753,2.083926,1.457728,6.228294,0.038597,0.354823,0.064772,0.033819,-0.012117,0.003017
3.123295,-183.351132,-38.514253,6.982640,6.909492,0.235067,-9.577596,3.321138,2.299015,1.414464,6.258647,0.039242,0.346602,0.070095,0.035496,-0.015684,0.002986
3.127471,-181.806038,-45.942132,7.288364,6.890927,0.233436,-8.488111,3.353799,2.246816,1.367881,6.255691,0.039176,0.394886,0.071745,0.036186,-0.019431,0.002920
3.131646,-179.934250,-54.941144,7.278803,6.790708,0.233436,-8.488111,3.353799,2.246816,1.318460,6.255691,0.038748,0.394886,0.073990,0.036640,-0.022942,0.002867
3.135822,-177.855823,-63.213636,7.227297,6.813391,0.468144,-8.201872,3.321761,2.060504,1.271566,6.226169,0.038553,0.403938,0.078625,0.037550,-0.026814,0.002837
3.139997,-174.755466,-72.340840,7.152752,6.848131,0.167823,-8.143968,3.129167,2.075396,1.219058,6.262581,0.038835,0.384104,0.082360,0.038595,-0.030280,0.002846
3.144173,-170.810004,-80.630778,7.123967,6.915390,0.066962,-8.461144,3.097918,2.299753,1.171174,6.275271,0.039692,0.366118,0.087205,0.040508,-0.034021,0.002776
3.148349,-166.799512,-89.429548,7.156723,6.892859,-0.000000,-8.360388,3.104902,2.236056,1.118389,6.283185,0.039663,0.371383,0.089781,0.040700,-0.037782,0.002669
3.152524,-162.399462,-98.407374,7.109363,6.966626,0.801628,-7.787013,2.603359,1.983979,1.063917,6.180602,0.039224,0.331831,0.090627,0.040710,-0.041488,0.002585
3.156700,-157.254503,-107.263007,6.763816,6.936840,0.061168,-8.145584,3.113063,2.075152,1.008571,6.275676,0.039258,0.382161,0.092874,0.041037,-0.044992,0.002563
3.160875,-151.717582,-115.599904,7.086702,7.096063,0.160040,-7.999024,3.040278,2.131030,0.954408,6.263180,0.040356,0.379966,0.100021,0.042529,-0.048529,0.002388
3.165051,-145.147073,-123.934543,6.843265,7.039072,0.654284,-7.644067,2.645738,1.960609,0.897523,6.197800,0.039243,0.344290,0.105631,0.043065,-0.051803,0.002295
3.169226,-138.181594,-131.748541,6.980691,6.980497,0.841006,-7.757683,2.647515,2.040340,0.842488,6.175198,0.039504,0.338487,0.108776,0.043736,-0.055099,0.002129
3.173402,-130.713594,-139.466105,6.725712,7.014375,0.465303,-7.967113,2.403041,1.808380,0.784180,6.224849,0.038726,0.300885,0.109594,0.043346,-0.058491,0.001951
3.177577,-122.593497,-147.374158,6.598699,6.799305,0.196160,-7.483939,2.587847,1.867695,0.720390,6.256980,0.037994,0.345611,0.109032,0.043005,-0.061497,0.001801
3.181753,-113.941055,-154.637818,6.436891,6.936866,0.196160,-7.483939,2.587847,1.867695,0.659705,6.256980,0.037755,0.345611,0.111237,0.043779,-0.064176,0.001666
3.185928,-104.171695,-161.312031,6.495708,6.898331,1.164934,-7.772867,2.629394,1.774144,0.601307,6.134421,0.037835,0.332535,0.114313,0.044128,-0.066789,0.001501
3.190104,-94.316203,-167.005516,6.421083,6.904386,0.940955,-7.769391,2.574516,1.693960,0.539105,6.162662,0.037557,0.327612,0.120845,0.045290,-0.069143,0.001354
