# time (s), x1 (pixels), y1 (pixels), x1 error (pixels), y1 error (pixels), x2 (pixels), y2 (pixels), x2 error (pixels), y2 error (pixels), angle1 (the smaller arm) (rad), angle2 (the larger arm) (rad), angle1 error (rad), angle2 error (rad)
0.000000,60.762127,-22.750792,7.481540,6.621446,238.956464,-84.198438,2.965150,3.066445,1.902862,5.051164,0.039155,0.012060
0.000521,60.298968,-24.848413,7.238016,6.545572,230.061554,-105.662504,2.611874,3.032455,2.015094,5.142933,0.038854,0.011706
0.001042,60.053754,-27.971091,7.073603,6.417022,216.041460,-128.360829,2.820868,2.692920,2.142641,5.248495,0.038585,0.010851
0.001564,59.817014,-30.383487,7.201471,6.827886,202.021367,-151.059153,3.029863,2.353385,2.274481,5.354441,0.040080,0.010371
0.002085,59.324668,-33.382680,7.203531,6.812653,184.365559,-172.318046,2.155555,2.159289,2.408781,5.464024,0.039348,0.008550
0.002606,58.977643,-37.896229,7.210145,6.579747,166.085550,-191.535273,2.630668,2.372132,2.532789,5.568831,0.039828,0.009952
0.003127,58.836831,-40.453867,6.669370,7.150076,143.140681,-204.364888,2.612641,2.256956,2.666549,5.672179,0.039248,0.010024
0.003649,59.382465,-44.869037,6.823017,7.311780,120.195812,-217.194503,2.594614,2.141780,2.802338,5.777734,0.040143,0.010054
0.004170,59.583940,-49.819780,6.468111,7.193630,97.250943,-230.024118,2.576587,2.026604,2.935536,5.883192,0.037939,0.010014
0.004691,60.259684,-54.880890,6.512317,7.190729,74.306073,-242.853732,2.558560,1.911427,3.067006,5.986260,0.037133,0.009882
0.005212,61.879582,-61.411731,6.244423,7.632405,47.638594,-243.969414,2.680396,1.875791,3.219443,6.090347,0.037148,0.010681
0.005734,62.502183,-69.526241,6.277074,7.135511,20.971114,-245.085096,2.802232,1.840155,3.373887,6.197827,0.038255,0.011369
0.006255,62.833906,-78.865595,6.410010,7.023301,-5.696365,-246.200778,2.924069,1.804518,3.530295,6.306318,0.039129,0.011872
0.006776,63.323976,-89.821090,6.489588,6.633793,-32.363845,-247.316459,3.045905,1.768882,3.687552,6.413306,0.038464,0.012143
0.007297,63.295831,-102.561192,6.266213,6.883321,-59.031325,-248.432141,3.167741,1.733245,3.839430,6.516474,0.037049,0.012171
0.007819,61.110811,-118.519907,6.418378,6.570572,-82.652507,-240.398858,3.066770,1.605368,4.009188,6.614339,0.036674,0.011592
0.008340,56.611371,-137.258817,6.407364,6.045636,-106.827392,-231.177083,3.116189,1.675727,4.190826,6.716058,0.034458,0.011446
0.008861,49.581639,-156.680342,6.101851,6.253434,-129.396514,-220.057498,3.181289,2.274494,4.372061,6.814744,0.035182,0.011653
0.009382,39.044381,-178.242472,6.203388,5.836710,-149.789427,-206.163058,3.206823,2.456493,4.565595,6.911514,0.033251,0.011651
0.009904,24.207671,-200.817381,6.097503,5.942220,-166.211464,-193.030638,3.533421,2.395360,4.753259,6.994067,0.033624,0.012171
0.010425,4.413708,-223.909549,6.138676,5.063270,-182.498862,-178.175833,4.174212,3.526323,4.952354,7.080569,0.032468,0.015119
0.010946,-20.935741,-245.600109,5.725012,4.846355,-193.645608,-165.551935,3.796534,3.329276,5.146399,7.146637,0.031869,0.013872
0.011467,-51.311554,-265.747785,4.883127,4.120128,-204.128974,-153.060888,3.880348,3.386811,5.347774,7.210593,0.029853,0.014001
0.011988,-84.940913,-283.297264,4.624784,3.971436,-211.971404,-141.735190,3.972711,3.823858,5.551837,7.264606,0.030723,0.015179
0.012510,-122.211436,-295.848698,4.709551,2.798787,-217.750783,-131.237613,3.721155,3.300040,5.757306,7.311582,0.029567,0.013441
0.013031,-164.319241,-303.780286,3.824394,1.816136,-221.813483,-124.249414,3.610549,3.480798,5.973258,7.343377,0.027319,0.013814
0.013552,-224.808795,-117.562486,3.358440,3.176747,-230.582110,-111.678914,3.564608,3.424753,5.507245,7.402945,0.580837,0.013473
0.014073,-226.304856,-114.958020,3.220077,3.424390,-239.350737,-99.108415,3.518668,3.368708,5.594514,7.461403,0.233017,0.013090
0.014595,-226.980584,-115.216336,3.543507,3.432581,-248.119365,-86.537915,3.472728,3.312663,5.647993,7.518398,0.137396,0.012674
0.015116,-225.774905,-117.187681,3.496108,3.402745,-256.887992,-73.967416,3.426788,3.256619,5.659246,7.573629,0.090753,0.012232
0.015637,-223.355425,-121.413631,3.745273,3.446891,-265.656619,-61.396916,3.380847,3.200574,5.669229,7.626856,0.067206,0.011773
0.016158,-220.708243,-125.959879,3.918266,3.272337,-274.425247,-48.826417,3.334907,3.144529,5.674869,7.677902,0.052718,0.011303
0.016680,-217.861093,-131.177864,3.781654,3.508786,-283.193874,-36.255917,3.288967,3.088484,5.680369,7.726649,0.042574,0.010829
0.017201,-215.631524,-134.925140,3.805996,3.202992,-291.962501,-23.685418,3.243027,3.032439,5.681792,7.773034,0.035723,0.010357
0.017722,-215.170730,-136.756136,3.794565,3.375293,-300.731129,-11.114918,3.197087,2.976394,5.685332,7.817039,0.031711,0.009891
0.018243,-215.070581,-136.197142,3.980465,3.570539,-309.499756,1.455581,3.151146,2.920349,5.681920,7.858685,0.029552,0.009436
0.018765,-216.490712,-132.937206,3.586441,3.604046,-318.268383,14.026081,3.105206,2.864304,5.677485,7.898023,0.026285,0.008992
0.019286,-219.838230,-128.135614,3.816403,3.533588,-327.037011,26.596580,3.059266,2.808259,5.677307,7.935129,0.025351,0.008564
0.019807,-222.832223,-121.491444,3.965009,3.644052,-296.617835,51.671513,3.548845,2.334411,5.880379,8.026453,0.027525,0.007902
0.020328,-226.774065,-113.009376,4.051471,3.457559,-265.009991,72.730344,4.214479,4.134087,6.080164,8.121831,0.030734,0.015064
0.020850,-231.574538,-103.447713,3.541267,3.107932,-230.293018,86.015942,4.159486,5.060975,6.289949,8.211442,0.028832,0.020174
0.021371,-236.698271,-91.509083,3.568419,3.499155,-196.664184,95.203860,4.361346,5.539625,6.494402,8.304823,0.029737,0.024421
0.021892,-242.391261,-76.691717,3.357456,3.300665,-163.847666,97.486899,4.938144,5.569575,6.706818,8.390705,0.031713,0.028384
0.022413,-247.616573,-60.647434,3.136822,2.571769,-133.068167,93.089911,5.546026,6.346777,6.923538,8.464416,0.034142,0.037533
0.022934,-252.436444,-41.718717,2.845258,2.533045,-107.245527,83.444205,5.606518,5.854725,7.142529,8.515205,0.033074,0.042407
0.023456,-255.654656,-23.025647,2.688628,2.105326,-85.090454,67.576345,6.590469,6.588114,7.365695,8.525158,0.036043,0.060639
0.023977,-256.656994,-0.539185,3.138800,2.211451,-70.279462,47.826547,6.615697,6.012008,7.600078,8.451513,0.033589,0.073044
0.024498,-63.427785,26.614785,6.837409,6.070296,-161.226130,46.434028,4.720622,4.499389,4.912335,8.134398,0.076033,0.026921
0.025019,-63.639575,3.414527,6.497375,6.422290,-252.172799,45.041508,2.825546,2.986770,4.929696,8.030731,0.036685,0.011641
0.025541,-71.862919,-17.083459,6.966105,6.070935,-248.574247,64.314408,2.773371,2.291830,5.144044,8.107163,0.034317,0.009055
0.026062,-87.427655,-34.457448,6.654650,6.047656,-242.151491,86.546863,3.513654,3.820342,5.376099,8.197241,0.037148,0.014726
0.026583,-109.434640,-47.520570,6.509876,5.930840,-235.771527,105.140149,3.094148,3.664475,5.591860,8.273455,0.035894,0.013853
0.027104,-135.503556,-54.783398,6.041921,5.109286,-228.190850,121.775458,2.974240,3.613778,5.799765,8.344190,0.033270,0.013463
0.027626,-166.387882,-55.190751,5.813916,5.228801,-220.616079,135.311163,3.427733,4.148347,6.005861,8.404147,0.034046,0.015318
0.028147,-199.403331,-49.495789,5.477105,5.574075,-213.622240,146.872305,3.801548,3.606556,6.210902,8.456291,0.033863,0.014158
0.028668,-230.354171,-38.910515,5.186931,5.109350,-207.071104,155.903186,4.231400,3.836853,6.402136,8.499334,0.034097,0.015371
0.029189,-262.014987,-21.894846,5.084310,5.381611,-200.817235,162.457554,4.235325,3.725027,6.603700,8.534176,0.034030,0.015233
0.029711,-292.217228,0.182923,5.206336,5.700513,-196.270454,168.563612,3.862257,3.639997,6.801118,8.563582,0.033811,0.014440
0.030232,-319.208440,25.306066,4.966733,5.316898,-193.544608,171.749048,4.126195,3.544115,6.992367,8.579785,0.033314,0.014730
0.030753,-342.319351,54.014895,4.742625,5.600464,-191.738322,173.424749,4.166104,3.659141,7.183527,8.589270,0.034066,0.015067
0.031274,-362.654498,88.100874,5.022667,5.605837,-191.070380,174.533576,4.156620,3.664157,7.387352,8.594179,0.034673,0.015055
0.031796,-376.190155,120.169434,4.967734,5.014049,-192.340251,173.049077,3.774052,3.698722,7.573917,8.586633,0.032573,0.014427
0.032317,-384.760808,154.788497,4.474710,4.465204,-195.254194,170.461690,4.140546,3.382818,7.771464,8.571692,0.029478,0.014389
0.032838,-387.739660,189.764913,4.562227,5.126197,-199.327411,165.395957,4.147639,3.599142,7.982606,8.546613,0.032961,0.014796
0.033359,-381.951027,224.757386,5.182091,4.631778,-204.394306,160.063658,3.720625,3.689010,8.203387,8.518340,0.031628,0.014256
0.033880,-368.946409,254.952259,5.070996,4.870192,-209.477505,152.407689,3.959208,3.472110,8.425447,8.482967,0.032264,0.014082
0.034402,-347.066017,280.074443,5.217399,4.656936,-214.510018,144.356678,3.633790,3.562583,8.651165,8.446329,0.032268,0.013865
0.034923,-320.081235,298.171634,5.500755,4.401072,-219.255404,136.260836,3.987864,3.469415,8.867817,8.410039,0.033993,0.014028
0.035444,-288.931733,310.640628,4.706004,3.969862,-223.890636,129.909211,3.589799,3.488493,9.079331,8.379741,0.030455,0.013577
0.035965,-254.973145,315.251944,5.173553,4.427851,-226.063948,124.557169,4.059546,3.726296,9.274324,8.357578,0.034009,0.014748
0.036487,-219.608494,312.894317,4.316225,3.915351,-228.153362,121.286330,3.673574,3.180147,9.469344,8.342589,0.029545,0.012753
0.037008,-183.388120,306.274536,4.481317,4.380105,-228.698959,118.758824,3.483946,3.864312,9.661871,8.332934,0.029472,0.014695
0.037529,-151.716042,293.924203,4.027860,3.890805,-228.740492,118.756980,3.900620,3.457001,9.839050,8.332853,0.028971,0.013797
0.038050,-120.719686,277.114610,4.006005,4.798004,-228.619046,119.795790,4.235377,3.462292,10.025954,8.336642,0.030707,0.014113
0.038572,-91.095276,256.226317,3.844207,5.074729,-227.199629,122.446603,4.141196,3.541020,10.218789,8.348293,0.031072,0.014276
0.039093,-66.307235,231.210949,4.884357,4.278894,-226.129112,127.217903,3.748806,3.298168,10.418721,8.366439,0.029566,0.013150
0.039614,-44.222945,202.328429,5.101761,4.724319,-222.553941,131.846164,4.305365,3.393966,10.619184,8.388811,0.030979,0.014121
0.040135,-29.941170,171.850851,5.588261,4.666940,-218.795131,139.282309,4.120960,3.435780,10.824800,8.420870,0.030430,0.014060
0.040657,-20.556967,139.027099,5.270417,5.101796,-212.608204,148.280632,4.119573,3.316732,11.043720,8.462985,0.031656,0.013885
0.041178,-19.036899,106.495469,5.896601,5.918522,-206.182506,158.577119,3.776125,3.299875,11.267001,8.509602,0.034968,0.013396
0.041699,-26.431670,75.140502,6.418132,5.654670,-198.425357,168.586836,3.692773,3.023921,11.493269,8.558257,0.033982,0.012754
0.042220,-43.206067,46.835692,6.244625,5.557292,-188.199389,178.922212,3.732960,3.699262,11.734425,8.614115,0.035456,0.014307
0.042741,-66.965579,26.025853,6.212285,4.905340,-178.733864,189.178742,3.688470,3.373907,11.965747,8.667762,0.034609,0.013616
0.043263,-97.065206,13.085643,5.814831,5.640350,-170.394794,197.554856,3.694152,3.609002,12.188007,8.713061,0.034573,0.014022
0.043784,-129.626981,8.908832,6.103691,5.181767,-161.270420,205.224655,3.874195,3.830645,12.406559,8.758741,0.036261,0.014780
0.044305,-164.857991,13.379221,6.010689,4.872042,-154.713379,210.615406,3.906396,3.600418,12.617759,8.791220,0.036283,0.014548
0.044826,-198.172617,23.353742,5.288721,5.524031,-148.567293,213.654673,4.309994,3.282000,12.821364,8.817172,0.034567,0.015386
