# time (s), x1 (pixels), y1 (pixels), x1 error (pixels), y1 error (pixels), x2 (pixels), y2 (pixels), x2 error (pixels), y2 error (pixels), angle1 (the smaller arm) (rad), angle2 (the larger arm) (rad), angle1 error (rad), angle2 error (rad)
0.000000,432.066457,-94.763375,7.353653,6.229618,246.935656,-57.672486,3.962382,2.782352,4.910121,4.941829,0.036482,0.011260
0.000524,432.060599,-94.825841,7.374777,6.306509,246.711676,-57.720489,3.983276,2.727213,4.909969,4.942214,0.036689,0.011076
0.001048,432.215368,-94.629998,7.411931,6.285876,246.509108,-57.528113,3.715313,2.832451,4.909581,4.941657,0.036717,0.011396
0.001572,432.313285,-94.613818,7.477711,6.267265,247.141611,-57.363940,3.821285,2.891093,4.910904,4.940460,0.036881,0.011611
0.002096,432.199973,-94.447508,7.447902,6.246177,247.136952,-57.206493,3.845169,2.949183,4.910971,4.939860,0.036926,0.011831
0.002619,431.868029,-94.018584,7.319507,6.447787,247.146577,-57.451937,3.783187,3.209507,4.907818,4.940793,0.038470,0.012775
0.003143,431.941812,-93.776350,7.238704,6.510632,246.826027,-56.954171,3.464489,3.047285,4.908740,4.939166,0.038264,0.012118
0.003667,432.076655,-93.226791,7.313977,6.374631,246.557054,-56.813427,3.525053,2.993218,4.906203,4.938863,0.037476,0.011945
0.004191,432.338413,-92.753977,7.366379,6.206150,246.736706,-56.457891,3.584234,2.757369,4.905511,4.937335,0.036209,0.011079
0.004715,432.569604,-92.139188,7.312175,6.151087,246.994801,-56.471983,3.765816,2.718468,4.902272,4.937162,0.035900,0.010971
0.005239,432.193500,-91.412497,7.215918,6.267122,247.203289,-56.693917,3.590286,2.991536,4.897909,4.937832,0.037113,0.011924
0.005763,433.222894,-90.437695,7.231740,6.179038,247.143083,-56.323317,3.708436,2.813078,4.893707,4.936460,0.036139,0.011298
0.006287,433.186759,-89.960478,7.252637,6.159531,247.146306,-56.297140,3.763777,2.801934,4.891398,4.936356,0.036051,0.011271
