# time (s), x1 (pixels), y1 (pixels), x1 error (pixels), y1 error (pixels), x2 (pixels), y2 (pixels), x2 error (pixels), y2 error (pixels), angle1 (the smaller arm) (rad), angle2 (the larger arm) (rad), angle1 error (rad), angle2 error (rad)
0.000000,-10.983525,-94.887242,3.718463,2.479482,113.157401,159.931061,2.347911,1.912580,0.453334,3.757360,0.014763,0.011292
0.000521,-11.382264,-95.551549,3.678765,2.501586,113.157401,159.931061,2.347911,1.912580,0.453572,3.757360,0.014631,0.011292
0.001042,-11.493264,-95.412891,3.727231,2.500548,113.157401,159.931061,2.347911,1.912580,0.454137,3.757360,0.014755,0.011292
0.001564,-11.688704,-94.785915,3.629089,2.637349,113.157401,159.931061,2.347911,1.912580,0.455726,3.757360,0.014586,0.011292
0.002085,-11.757862,-95.330843,3.624615,2.522775,113.157401,159.931061,2.347911,1.912580,0.455100,3.757360,0.014501,0.011292
0.002606,-12.239684,-94.664943,3.146551,2.448771,113.157401,159.931061,2.347911,1.912580,0.457657,3.757360,0.013319,0.011292
0.003127,-12.820373,-94.568494,3.490798,2.457079,113.157401,159.931061,2.347911,1.912580,0.459641,3.757360,0.014140,0.011292
0.003649,-12.931761,-95.432870,3.502674,2.520423,112.863444,159.988461,2.348204,1.912456,0.457630,3.755965,0.014165,0.011303
0.004170,-13.176842,-95.087616,3.538427,2.547508,112.569486,160.045861,2.348497,1.912333,0.457923,3.754569,0.014278,0.011313
0.004691,-12.713730,-95.447387,3.744822,2.592109,112.275529,160.103261,2.348791,1.912210,0.454888,3.753170,0.014819,0.011324
0.005212,-13.437173,-95.358801,3.721098,2.551896,111.981571,160.160660,2.349084,1.912087,0.456291,3.751770,0.014730,0.011335
0.005734,-13.636043,-95.039251,3.696057,2.752308,111.687614,160.218060,2.349377,1.911963,0.456397,3.750368,0.014768,0.011346
0.006255,-13.480337,-94.845837,3.528503,2.686761,111.393656,160.275460,2.349670,1.911840,0.455187,3.748964,0.014344,0.011356
0.006776,-14.182744,-95.127379,4.122501,2.724115,111.099699,160.332860,2.349963,1.911717,0.455953,3.747559,0.015835,0.011367
0.007297,-15.322684,-95.205182,3.780523,2.626175,110.805741,160.390259,2.350257,1.911593,0.458409,3.746152,0.014886,0.011378
0.007819,-15.456005,-94.998318,3.669644,2.675575,110.511784,160.447659,2.350550,1.911470,0.458136,3.744743,0.014642,0.011389
0.008340,-15.689570,-94.904746,3.452811,2.792636,110.217826,160.505059,2.350843,1.911347,0.458002,3.743332,0.014168,0.011399
0.008861,-15.944595,-95.058008,3.305789,2.763804,109.923869,160.562459,2.351136,1.911224,0.457552,3.741920,0.013794,0.011410
0.009382,-16.178747,-94.794733,3.247821,2.706619,109.629911,160.619858,2.351430,1.911100,0.457683,3.740506,0.013640,0.011421
