# time (s), x1 (pixels), y1 (pixels), x1 error (pixels), y1 error (pixels), x2 (pixels), y2 (pixels), x2 error (pixels), y2 error (pixels), angle1 (the smaller arm) (rad), angle2 (the larger arm) (rad), angle1 error (rad), angle2 error (rad)
0.000000,1.243812,-120.601780,2.529601,1.901879,1.894409,-121.064370,3.073430,2.096847,2.188882,6.267539,4.086783,0.025382
0.000521,1.243812,-120.601780,2.529601,1.901879,1.894409,-121.064370,3.073430,2.096847,2.188882,6.267539,4.086783,0.025382
0.001042,1.039260,-120.781350,2.588919,1.966895,1.894409,-121.064370,3.073430,2.096847,1.890409,6.267539,3.338567,0.025382
0.001564,0.967434,-120.751571,2.629931,1.967225,1.894409,-121.064370,3.073430,2.096847,1.896239,6.267539,3.082484,0.025382
0.002085,1.203428,-120.590357,2.867180,2.166920,1.894409,-121.064370,3.073430,2.096847,2.172064,6.267539,4.105748,0.025382
0.002606,1.252685,-120.714481,2.860160,2.029397,1.894409,-121.064370,3.073430,2.096847,2.069971,6.267539,4.455040,0.025382
0.003127,1.355170,-120.975060,2.826746,2.198936,1.894409,-121.064370,3.073430,2.096847,1.734928,6.267539,5.624498,0.025382
0.003649,1.433550,-121.073581,2.819604,2.140175,1.894409,-121.064370,3.073430,2.096847,1.550812,6.267539,6.501219,0.025382
0.004170,1.433550,-121.073581,2.819604,2.140175,1.894409,-121.064370,3.073430,2.096847,1.550812,6.267539,6.501219,0.025382
0.004691,1.248242,-120.829232,2.823118,2.114888,1.894409,-121.064370,3.073430,2.096847,1.919796,6.267539,4.568624,0.025382
0.005212,1.333814,-120.812582,2.856511,1.969551,1.894409,-121.064370,3.073430,2.096847,1.992938,6.267539,5.104933,0.025382
0.005734,1.314939,-120.620003,2.851237,2.079739,1.894409,-121.064370,3.073430,2.096847,2.224994,6.267539,4.743901,0.025382
0.006255,1.136545,-122.514949,2.584285,3.331723,1.894409,-121.064370,3.073430,2.096847,0.481451,6.267539,2.443289,0.025382
0.006776,1.142213,-120.576889,2.911358,2.058504,1.894409,-121.064370,3.073430,2.096847,2.145818,6.267539,3.763745,0.025382
0.007297,1.192944,-120.487655,2.899627,2.100796,1.894409,-121.064370,3.073430,2.096847,2.258903,6.267539,3.886706,0.025382
0.007819,1.278175,-121.477919,2.945895,2.088769,1.894409,-121.064370,3.073430,2.096847,0.979737,6.267539,4.602633,0.025382
0.008340,0.938478,-121.383476,2.725249,2.089516,1.894409,-121.064370,3.073430,2.096847,1.248610,6.267539,3.070598,0.025382
0.008861,0.744791,-121.203623,2.675539,2.007046,1.894409,-121.064370,3.073430,2.096847,1.450253,6.267539,2.524036,0.025382
0.009382,1.059651,-121.213283,2.907433,1.954437,1.894409,-121.064370,3.073430,2.096847,1.394263,6.267539,3.441394,0.025382
0.009904,0.872307,-121.175966,2.683628,1.887796,1.894409,-121.064370,3.073430,2.096847,1.462044,6.267539,2.761706,0.025382
0.010425,0.765488,-121.087590,2.711746,1.926811,1.894409,-121.064370,3.073430,2.096847,1.550231,6.267539,2.522530,0.025382
0.010946,1.034527,-120.421655,2.712836,2.020433,1.894409,-121.064370,3.073430,2.096847,2.212660,6.267539,3.153843,0.025382
0.011467,1.180571,-121.351099,2.914691,2.029883,1.894409,-121.064370,3.073430,2.096847,1.188849,6.267539,4.074921,0.025382
0.011988,1.160399,-121.301461,2.930199,1.999719,1.894409,-121.064370,3.073430,2.096847,1.258367,6.267539,3.954858,0.025382
0.012510,1.029408,-121.552730,2.932103,2.153204,1.894409,-121.064370,3.073430,2.096847,1.056830,6.267539,3.370713,0.025382
0.013031,1.172408,-121.399724,2.895888,2.057541,1.894409,-121.064370,3.073430,2.096847,1.135968,6.267539,4.024225,0.025382
0.013552,1.059651,-121.213283,2.907433,1.954437,1.894409,-121.064370,3.073430,2.096847,1.394263,6.267539,3.441394,0.025382
0.014073,1.122040,-121.314521,2.864206,1.937909,1.894409,-121.064370,3.073430,2.096847,1.257583,6.267539,3.706230,0.025382
0.014595,1.244897,-120.437334,2.879869,1.988372,1.894409,-121.064370,3.073430,2.096847,2.338589,6.267539,3.975245,0.025382
0.015116,1.727994,-120.742207,3.090919,2.000366,1.894409,-121.064370,3.073430,2.096847,2.664788,6.267539,11.292501,0.025382
0.015637,1.249704,-120.940334,2.953140,2.039446,1.894409,-121.064370,3.073430,2.096847,1.760866,6.267539,4.543813,0.025382
0.016158,1.249704,-120.940334,2.953140,2.039446,1.894409,-121.064370,3.073430,2.096847,1.760866,6.267539,4.543813,0.025382
0.016680,1.249704,-120.940334,2.953140,2.039446,1.894409,-121.064370,3.073430,2.096847,1.760866,6.267539,4.543813,0.025382
0.017201,1.249704,-120.940334,2.953140,2.039446,1.894409,-121.064370,3.073430,2.096847,1.760866,6.267539,4.543813,0.025382
0.017722,1.555473,-121.010147,3.160990,2.030443,1.894409,-121.064370,3.073430,2.096847,1.729431,6.267539,8.638465,0.025382
0.018243,1.188160,-121.177275,3.594758,2.056333,1.894409,-121.064370,3.073430,2.096847,1.412272,6.267539,4.187011,0.025382
0.018765,1.583247,-121.197720,3.162855,2.134863,1.894409,-121.064370,3.073430,2.096847,1.165919,6.267539,9.609514,0.025382
0.019286,1.583247,-121.197720,3.162855,2.134863,1.894409,-121.064370,3.073430,2.096847,1.165919,6.267539,9.609514,0.025382
0.019807,1.694391,-121.269722,3.099925,2.013619,1.894409,-121.064370,3.073430,2.096847,0.772241,6.267539,13.002384,0.025382
0.020328,1.884875,-121.380247,3.186934,2.057871,1.894409,-121.064370,3.073430,2.096847,0.030173,6.267539,14.006471,0.025382
0.020849,1.831736,-120.302931,3.221229,2.039166,1.894409,-121.064370,3.073430,2.096847,3.059468,6.267539,5.816257,0.025382
0.021371,1.706334,-120.174537,3.239378,2.115390,1.894409,-121.064370,3.073430,2.096847,2.933298,6.267539,4.851128,0.025382
0.021892,1.529985,-121.060214,3.149343,2.064305,1.894409,-121.064370,3.073430,2.096847,1.582201,6.267539,8.074411,0.025382
0.022413,1.579703,-120.965354,3.130596,2.123536,1.894409,-121.064370,3.073430,2.096847,1.875619,6.267539,9.506949,0.025382
