# time (s), x1 (pixels), y1 (pixels), x1 error (pixels), y1 error (pixels), x2 (pixels), y2 (pixels), x2 error (pixels), y2 error (pixels), angle1 (the smaller arm) (rad), angle2 (the larger arm) (rad), angle1 error (rad), angle2 error (rad)
0.000000,60.751062,-22.777822,7.474948,6.613936,238.881825,-84.409517,2.962081,3.063483,1.903895,5.052047,0.039116,0.012048
0.004176,60.285736,-24.874963,7.231495,6.538312,229.964747,-105.864383,2.608828,3.029857,2.016127,5.143817,0.038815,0.011694
0.008351,60.037297,-27.997386,7.067209,6.409927,215.921213,-128.548212,2.818180,2.690095,2.143674,5.249381,0.038549,0.010841
0.012527,59.798064,-30.409537,7.194657,6.820673,201.877679,-151.232041,3.027532,2.350333,2.275514,5.355331,0.040042,0.010363
0.016703,59.302621,-33.408219,7.196733,6.805438,184.199919,-172.472684,2.153396,2.157134,2.409814,5.464919,0.039311,0.008542
0.020878,58.935371,-36.921529,7.203587,6.572517,165.884506,-190.671138,2.628305,2.369493,2.533822,5.567192,0.039793,0.009971
0.025054,58.807479,-40.478898,6.662204,7.143424,142.930286,-203.727012,2.610397,2.254332,2.665775,5.671401,0.039353,0.010040
0.029229,59.348552,-44.894629,6.815690,7.304974,119.976066,-216.782887,2.592488,2.139170,2.802501,5.777706,0.040206,0.010064
0.033405,59.544912,-49.845578,6.460894,7.187188,97.021846,-229.838762,2.574579,2.024009,2.936313,5.883748,0.037949,0.010017
0.037581,60.215428,-54.907383,6.505105,7.184241,74.067626,-242.894636,2.556671,1.908847,3.068039,5.987205,0.037093,0.009877
0.041756,61.828578,-61.439895,6.236745,7.626209,47.399008,-243.982769,2.678548,1.873084,3.220476,6.091304,0.037107,0.010676
0.045932,62.442796,-69.555043,6.269910,7.129264,20.730390,-245.070901,2.800425,1.837320,3.374920,6.198797,0.038216,0.011363
0.050108,62.764871,-78.894735,6.402967,7.016913,-5.938228,-246.159034,2.922302,1.801557,3.531328,6.307304,0.039090,0.011866
0.054283,63.243624,-89.850731,6.482950,6.627309,-32.606846,-247.247167,3.044179,1.765793,3.688585,6.414308,0.038426,0.012137
0.058459,63.202317,-102.590797,6.259310,6.877076,-59.275464,-248.335299,3.166057,1.730029,3.840463,6.517492,0.037013,0.012164
0.062635,61.000813,-118.547246,6.411803,6.564160,-82.888335,-240.277619,3.065214,1.602253,4.010221,6.615371,0.036636,0.011584
0.066810,56.482017,-137.281498,6.401332,6.039217,-107.053681,-231.030874,3.114562,1.672562,4.191859,6.717105,0.034418,0.011437
0.070986,49.432225,-156.695751,6.095593,6.247338,-129.611303,-219.887981,3.179045,2.271283,4.373094,6.815806,0.035145,0.011642
0.075161,38.872698,-178.246984,6.197564,5.830495,-149.989852,-205.972481,3.204393,2.453261,4.566628,6.912590,0.033214,0.011640
0.079337,24.012675,-200.806553,6.091567,5.936118,-166.398314,-192.823104,3.531064,2.391789,4.754292,6.995154,0.033587,0.012158
0.083513,4.194868,-223.878262,6.133649,5.057095,-182.670358,-177.951482,4.170708,3.522128,4.953387,7.081668,0.032433,0.015103
0.087688,-21.176975,-245.542623,5.720196,4.840601,-193.804056,-165.316075,3.793221,3.325464,5.147432,7.147745,0.031838,0.013858
0.091864,-51.573585,-265.658908,4.879034,4.115220,-204.274513,-152.814205,3.876978,3.382915,5.348807,7.211709,0.029827,0.013987
0.096040,-85.221056,-283.173637,4.620835,3.966790,-212.105239,-141.480412,3.968893,3.819881,5.552870,7.265728,0.030696,0.015165
0.100215,-122.504525,-295.686563,4.706817,2.794014,-217.873770,-130.976870,3.717870,3.296305,5.758340,7.312710,0.029550,0.013427
0.104391,-164.620501,-303.574647,3.822646,1.812245,-221.929249,-123.984477,3.607073,3.477184,5.974291,7.344509,0.027303,0.013801
0.108567,-224.917652,-117.294459,3.355270,3.173382,-230.684886,-111.404926,3.561189,3.421184,5.508278,7.404082,0.580286,0.013460
0.112742,-226.411021,-114.688449,3.216646,3.421178,-239.440523,-98.825375,3.515305,3.365185,5.595547,7.462546,0.232783,0.013077
0.116918,-227.087016,-114.946067,3.540079,3.429034,-248.196160,-86.245824,3.469421,3.309186,5.649026,7.519544,0.137266,0.012661
0.121093,-225.883374,-116.918656,3.492709,3.399246,-256.951796,-73.666273,3.423537,3.253187,5.660279,7.574777,0.090667,0.012220
0.125269,-223.468261,-121.147103,3.741836,3.443136,-265.707433,-61.086722,3.377654,3.197187,5.670262,7.628006,0.067145,0.011761
0.129445,-220.825777,-125.696083,3.915016,3.268398,-274.463070,-48.507171,3.331770,3.141188,5.675902,7.679053,0.052674,0.011292
0.133620,-217.984019,-130.917007,3.778155,3.504995,-283.218707,-35.927619,3.285886,3.085189,5.681402,7.727801,0.042535,0.010818
0.137796,-215.758323,-134.666584,3.802814,3.199167,-291.974344,-23.348068,3.240002,3.029189,5.682825,7.774185,0.035694,0.010347
0.141972,-215.299420,-136.498055,3.791205,3.371485,-300.729980,-10.768517,3.194118,2.973190,5.686365,7.818189,0.031684,0.009881
0.146147,-215.198694,-135.939165,3.976909,3.566545,-309.485617,1.811034,3.148234,2.917191,5.682953,7.859833,0.029526,0.009426
0.150323,-216.615456,-132.677764,3.582837,3.600461,-318.241254,14.390585,3.102351,2.861191,5.678518,7.899170,0.026260,0.008983
0.154499,-219.958012,-127.872716,3.812879,3.529762,-326.996891,26.970136,3.056467,2.805192,5.678340,7.936274,0.025328,0.008555
0.158674,-222.945140,-121.225457,3.961376,3.640077,-296.551828,52.013631,3.546552,2.330822,5.881412,8.027610,0.027505,0.007892
0.162850,-226.878218,-112.739321,4.048034,3.453488,-264.922247,73.039799,4.210349,4.129871,6.081197,8.123001,0.030706,0.015049
0.167025,-231.668810,-103.172704,3.538175,3.104377,-230.191567,86.289526,4.154395,5.056847,6.290982,8.212629,0.028801,0.020154
0.171201,-236.780208,-91.228788,3.564923,3.495585,-196.553259,95.442699,4.355767,5.535304,6.495435,8.306028,0.029706,0.024396
0.175377,-242.457888,-76.405548,3.354157,3.297306,-163.734400,97.691836,4.932554,5.564659,6.707851,8.391933,0.031681,0.028353
0.179552,-247.666622,-60.355876,3.134269,2.568614,-132.959460,93.263054,5.539653,6.341259,6.924571,8.465673,0.034110,0.037490
0.183728,-252.466937,-41.422190,2.842736,2.530190,-107.146798,83.590677,5.600656,5.849128,7.143562,8.516502,0.033042,0.042359
0.187904,-255.665836,-22.725806,2.686543,2.102618,-85.008129,67.699939,6.583882,6.581525,7.366728,8.526520,0.036006,0.060571
0.192079,-256.644945,-0.238320,3.136620,2.208281,-70.217548,47.934851,6.609706,6.005373,7.601111,8.452976,0.033548,0.072970
