# time (s), x1 (pixels), y1 (pixels), x1 error (pixels), y1 error (pixels), x2 (pixels), y2 (pixels), x2 error (pixels), y2 error (pixels), angle1 (the smaller arm) (rad), angle2 (the larger arm) (rad), angle1 error (rad), angle2 error (rad)
0.998844,316.103406,-286.539760,7.012177,5.720106,150.553201,-204.779394,3.136875,2.592483,5.171121,5.649226,0.035629,0.011635
1.003041,324.038756,-277.765483,6.992602,6.008237,154.734121,-201.031527,3.227096,2.288914,5.137926,5.627194,0.035847,0.011485
1.007237,331.494130,-268.901253,6.853450,6.040925,160.631325,-196.666117,3.250495,2.559788,5.112367,5.598301,0.036259,0.011788
1.011434,337.838785,-260.431184,6.875297,6.350846,165.728224,-192.586991,3.723889,2.166448,5.087876,5.572606,0.037134,0.012424
1.015631,345.192315,-251.838399,6.846732,5.876433,170.666933,-188.217398,3.267962,2.405835,5.061955,5.546651,0.035030,0.011456
1.019828,350.939082,-243.607529,7.116595,5.793207,175.431790,-183.927648,3.505036,2.514176,5.040165,5.521424,0.035073,0.012091
1.024025,356.961852,-235.386476,7.055240,5.674736,180.621265,-178.785169,3.232974,2.302578,5.022978,5.492678,0.033990,0.011025
1.028221,362.236132,-227.315364,7.075950,6.078492,184.609768,-175.286375,3.569926,2.998083,4.997331,5.471887,0.037146,0.012891
1.032418,367.630782,-219.332207,6.998570,6.130020,188.846942,-169.383895,3.112775,2.292149,4.984821,5.443509,0.035725,0.010600
1.036615,372.442172,-211.447553,7.123249,5.942855,192.734900,-165.168220,3.169931,2.513882,4.964438,5.420916,0.035266,0.011072
1.040812,377.044878,-203.586318,6.923555,5.917853,196.361880,-161.153630,3.269663,2.631093,4.943055,5.399623,0.035255,0.011436
1.045009,381.199256,-196.374110,6.881715,5.738445,200.120284,-155.484059,3.272579,2.161267,4.934477,5.372918,0.033465,0.010398
1.049206,385.305163,-189.119377,6.873356,5.957542,203.283909,-151.547301,3.660238,2.617587,4.915946,5.353001,0.035320,0.011956
1.053402,389.679576,-182.013435,7.106321,5.762501,207.945293,-146.276302,3.091817,2.094727,4.906556,5.325418,0.033471,0.009714
1.057599,392.905363,-175.318669,6.886685,5.743059,210.385531,-142.083256,3.183733,2.183206,4.892508,5.306377,0.033395,0.010003
1.061796,396.549393,-168.411747,6.960570,5.954469,213.333917,-137.090228,2.669710,2.051828,4.881707,5.283551,0.034076,0.008873
1.065993,399.674985,-161.877841,7.197558,5.772472,216.265082,-132.601570,2.986872,2.096132,4.870676,5.262417,0.033315,0.009354
1.070190,402.624849,-156.172801,6.924815,6.001968,219.024382,-128.263654,2.634330,2.119928,4.863244,5.242163,0.034413,0.008914
1.074386,405.792656,-149.721310,7.263092,5.761098,221.983548,-124.048634,3.206866,2.095541,4.851162,5.221978,0.033245,0.009465
1.078583,408.124639,-144.135518,6.865870,6.082769,223.908624,-120.126079,3.175040,2.172762,4.841992,5.204805,0.034877,0.009575
1.082780,410.360946,-138.177616,7.033429,6.082477,225.922408,-115.994959,3.130180,2.324820,4.832085,5.186721,0.035152,0.009900
1.086977,412.472184,-132.604236,6.795261,6.023515,227.836741,-111.917352,3.002346,2.320017,4.823965,5.168986,0.034812,0.009721
1.091174,414.532406,-127.932218,7.107294,6.091342,229.674645,-108.133774,3.162067,2.132215,4.819083,5.152415,0.034802,0.009268
1.095371,416.195972,-122.331770,6.748116,6.131898,231.740115,-104.243566,3.086524,2.085410,4.810139,5.135101,0.034997,0.008991
1.099567,418.007925,-117.847778,6.913645,5.946109,233.612084,-101.181367,3.130247,2.199028,4.802528,5.121115,0.034301,0.009312
1.103764,419.994990,-112.953181,6.896117,6.123371,234.947460,-97.617659,2.849966,2.160004,4.795073,5.106175,0.035008,0.008941
1.107961,421.024147,-108.748300,7.320682,5.857076,235.749497,-94.659644,3.162287,2.337776,4.788285,5.094211,0.033998,0.009718
