# time (s), x1 (pixels), y1 (pixels), x1 error (pixels), y1 error (pixels), x2 (pixels), y2 (pixels), x2 error (pixels), y2 error (pixels), angle1 (the smaller arm) (rad), angle2 (the larger arm) (rad), angle1 error (rad), angle2 error (rad)
1.000871,-205.339794,-374.234558,6.930152,6.985200,-87.975894,-229.495669,2.608760,1.954461,0.681332,0.366066,0.039418,0.010312
1.005077,-201.094834,-376.900555,6.906869,7.224522,-87.343556,-230.360527,2.803169,2.272905,0.660089,0.362413,0.040425,0.011131
1.009282,-196.860627,-379.872032,6.950321,7.024101,-85.539132,-231.094070,2.891170,2.246017,0.642373,0.354511,0.040218,0.011449
1.013487,-192.040018,-382.956210,6.853559,7.248917,-84.838080,-231.795603,3.160518,2.395611,0.616869,0.350860,0.040885,0.012478
1.017693,-186.982341,-385.437171,7.006552,7.113003,-83.019239,-232.128344,3.077882,2.213537,0.595896,0.343468,0.040971,0.012138
1.021898,-182.199743,-388.139859,6.854406,7.066367,-81.344748,-232.419201,2.856959,2.118144,0.574733,0.336667,0.039948,0.011314
1.026103,-176.748864,-391.116150,6.857269,6.983877,-79.107993,-232.687893,3.167555,2.003345,0.552326,0.327716,0.040168,0.012481
1.030309,-171.381712,-394.329386,6.769449,6.987510,-78.642636,-234.128200,2.924585,2.308547,0.524754,0.324055,0.039817,0.011613
1.034514,-166.153980,-395.711149,6.917652,6.955192,-75.825812,-232.899988,2.711544,2.109026,0.506523,0.314750,0.039703,0.010859
1.038719,-160.107470,-398.615292,6.964296,7.198824,-75.041209,-234.297294,3.015793,2.503832,0.477702,0.309959,0.041053,0.012080
1.042925,-154.075762,-401.181531,6.999769,7.073314,-72.874906,-234.862089,3.026018,2.242196,0.454181,0.300868,0.040991,0.012059
1.047130,-147.877216,-404.055997,6.873154,7.214394,-70.510260,-235.217227,3.046342,1.949047,0.429677,0.291243,0.040438,0.012100
1.051335,-141.647209,-406.297273,6.944770,7.118244,-67.860704,-235.576006,2.924186,1.801665,0.407957,0.280470,0.040355,0.011641
1.055541,-135.604174,-408.776734,6.950586,7.219938,-66.413479,-236.253781,2.750727,1.897293,0.381413,0.274038,0.040207,0.010991
1.059746,-129.346690,-411.003103,6.966246,7.039570,-64.966254,-236.931557,2.577267,1.992921,0.354248,0.267621,0.039949,0.010342
1.063951,-122.615249,-413.359115,6.520490,7.383816,-62.137457,-237.120610,2.824141,1.844494,0.330567,0.256287,0.038431,0.011307
1.068157,-115.881235,-415.337900,6.810588,7.261934,-60.310498,-237.749667,2.600027,1.855410,0.303267,0.248432,0.039276,0.010442
1.072362,-109.080918,-416.937468,6.704028,7.058940,-57.975689,-238.008714,2.818446,1.696304,0.278210,0.238933,0.039076,0.011298
1.076567,-101.959420,-418.771751,6.509297,7.151190,-56.538527,-238.628862,3.096703,2.006158,0.246990,0.232641,0.038872,0.012431
1.080773,-94.699902,-420.525408,6.650122,7.052610,-53.621574,-239.452027,2.918451,1.677402,0.223084,0.220300,0.039110,0.011702
1.084978,-88.025596,-422.229197,6.507352,7.115096,-52.090107,-240.336625,3.125868,2.064009,0.195053,0.213437,0.038976,0.012549
1.089183,-80.105148,-423.446067,6.394458,6.947845,-49.024293,-240.229862,2.647468,1.960623,0.168041,0.201308,0.037288,0.010700
1.093389,-73.500648,-424.494094,6.449521,7.160545,-46.250034,-241.023144,2.997289,2.152394,0.147450,0.189586,0.038386,0.012107
1.097594,-65.988212,-425.157210,6.578167,7.027374,-43.759167,-241.525888,3.087187,1.986703,0.120466,0.179234,0.039288,0.012460
1.101799,-58.509457,-426.155587,6.744426,7.010985,-40.581804,-241.943088,3.081730,1.932102,0.097015,0.166186,0.040057,0.012457
1.106005,-51.034987,-426.686498,6.592302,6.945726,-38.342050,-241.920763,2.790276,1.929461,0.068590,0.157183,0.038654,0.011319
1.110210,-44.159158,-428.395720,6.714587,7.250719,-34.790713,-242.847454,2.676298,1.963949,0.050448,0.142293,0.038911,0.010858
1.114415,-36.247576,-428.958233,6.438283,7.080847,-32.554464,-242.868871,2.631747,1.808237,0.019843,0.133247,0.037370,0.010690
1.118621,-28.681060,-429.153494,6.419126,7.311142,-30.080738,-244.499954,3.159693,2.077916,-0.007580,0.122414,0.038745,0.012772
1.122826,-21.497637,-429.200773,6.653675,7.052791,-27.045364,-244.021772,2.683927,1.610232,-0.029950,0.110381,0.038727,0.010889
1.127031,-13.726694,-428.937871,6.589033,6.921847,-23.546268,-243.942247,2.849214,1.588065,-0.053030,0.096226,0.038749,0.011589
