# time (s), x1 (pixels), y1 (pixels), x1 error (pixels), y1 error (pixels), x2 (pixels), y2 (pixels), x2 error (pixels), y2 error (pixels), angle1 (the smaller arm) (rad), angle2 (the larger arm) (rad), angle1 error (rad), angle2 error (rad)
2.997991,-151.296056,-404.602318,6.197385,6.550528,-55.788047,-246.350677,3.893090,3.007928,0.543004,0.222702,0.039436,0.015261
3.002166,-153.614628,-403.407759,6.391457,6.571323,-56.836240,-246.297613,4.101168,2.961165,0.552094,0.226792,0.040589,0.016027
3.006342,-155.985292,-402.413486,6.528717,6.411494,-57.705183,-246.369161,3.694762,3.133862,0.562059,0.230075,0.040126,0.014495
3.010517,-158.170212,-400.771585,6.429130,6.431031,-58.060578,-246.393688,3.629162,3.034978,0.575300,0.231420,0.039693,0.014223
3.014693,-160.276496,-399.932361,6.403422,6.415355,-58.049313,-246.235404,4.093342,3.018880,0.586932,0.231520,0.040345,0.015985
3.018868,-162.484947,-398.985666,6.290809,6.649652,-59.076335,-246.142045,4.176787,2.824110,0.594824,0.235554,0.040372,0.016255
3.023043,-164.290490,-397.786561,6.433914,6.557161,-58.866655,-246.140654,4.185158,3.148584,0.607495,0.234749,0.040862,0.016341
3.027219,-166.151955,-397.273077,6.323100,6.488549,-60.074344,-245.680995,4.039058,2.992114,0.610563,0.239816,0.039927,0.015765
3.031394,-168.114699,-396.363086,6.515897,6.398514,-60.864340,-245.622019,3.959120,3.116154,0.618394,0.242904,0.040312,0.015472
3.035570,-169.498194,-395.329096,6.188334,6.465673,-61.021601,-245.876136,3.980293,3.153554,0.627848,0.243265,0.039539,0.015541
3.039745,-170.953161,-394.804767,6.444899,6.402279,-61.376595,-245.794832,4.166959,3.106695,0.634068,0.244703,0.040459,0.016232
3.043921,-171.797776,-394.062328,6.393102,6.447841,-61.661685,-245.876265,4.269513,3.197846,0.639153,0.245716,0.040713,0.016623
3.048096,-172.999807,-393.464802,6.537174,6.745454,-61.614962,-245.124162,4.180316,2.759317,0.644059,0.246260,0.040931,0.016260
3.052272,-173.921530,-393.044915,6.309255,6.290993,-61.736696,-245.230637,4.222022,2.824655,0.649210,0.246625,0.039582,0.016418
3.056447,-174.822759,-391.648128,6.229026,6.413360,-62.127738,-245.014478,4.302029,3.179647,0.655267,0.248334,0.040121,0.016785
3.060623,-175.494940,-392.177147,6.498151,6.427193,-62.613095,-245.912464,3.988457,3.319855,0.657285,0.249318,0.040491,0.015570
