# time (s), x1 (pixels), y1 (pixels), x1 error (pixels), y1 error (pixels), x2 (pixels), y2 (pixels), x2 error (pixels), y2 error (pixels), angle1 (the smaller arm) (rad), angle2 (the larger arm) (rad), angle1 error (rad), angle2 error (rad)
0.000000,-12.244612,66.245616,7.112994,7.807240,-31.856944,281.411436,6.045092,4.609671,6.192287,3.028868,0.043195,0.021288
0.004161,-12.350097,66.499661,7.378265,8.024147,-32.203943,282.019979,6.080281,5.149369,6.191324,3.027895,0.044173,0.021382
0.008322,-12.298731,66.438270,7.301164,8.109939,-32.039133,281.714478,6.274860,5.143552,6.191743,3.028350,0.044532,0.022085
0.012483,-12.356084,66.658816,7.288699,7.951452,-32.061913,281.951065,6.229085,5.087511,6.191909,3.028365,0.044343,0.021905
0.016644,-12.306801,66.702240,7.192192,7.989420,-32.034105,282.135733,6.210521,4.992656,6.191870,3.028535,0.043922,0.021823
0.020805,-12.080271,66.689455,7.354507,8.044607,-32.134923,281.901121,6.070951,5.269492,6.190268,3.028089,0.044124,0.021363
0.024966,-12.217159,66.729748,7.468704,8.074612,-31.471966,281.632622,5.794813,5.323069,6.193826,3.030306,0.043820,0.020429
0.029127,-12.101444,66.811025,7.409886,7.942129,-31.471966,281.632622,5.794813,5.323069,6.193258,3.030306,0.043617,0.020429
0.033288,-12.116262,66.811068,7.370825,7.926771,-31.562035,281.929303,6.095387,5.176840,6.193035,3.030107,0.044278,0.021449
0.037449,-12.203688,66.553407,7.438925,8.016887,-31.803757,282.007572,6.303330,5.187523,6.192464,3.029291,0.045061,0.022166
0.041609,-12.267378,66.500104,7.408893,8.008000,-31.724802,281.901015,6.346875,5.232983,6.193099,3.029525,0.045100,0.022328
0.045770,-12.216272,66.088408,7.373598,7.941486,-31.529136,281.588385,6.026971,4.967864,6.193805,3.030088,0.044010,0.021228
0.049931,-12.455911,67.031945,7.545290,7.848905,-31.491924,282.459620,6.128271,5.012530,6.195050,3.030559,0.044932,0.021519
0.054092,-12.350269,66.989294,7.438433,7.864645,-31.444426,282.233231,5.901345,5.099418,6.194708,3.030637,0.043936,0.020749
0.058253,-12.342516,66.857970,7.446549,7.858667,-31.294953,282.088924,5.921849,4.986843,6.195356,3.031104,0.044027,0.020828
0.062414,-12.399301,66.777013,7.410684,7.829882,-31.434121,281.838000,5.843667,4.958594,6.194906,3.030519,0.043706,0.020571
0.066575,-12.688877,67.609795,7.232033,7.964608,-31.367492,282.422500,6.000324,5.122937,6.196450,3.030980,0.043584,0.021081
0.070736,-12.272610,67.284820,7.437767,7.790228,-31.376461,282.289237,5.893715,5.064554,6.194565,3.030897,0.043957,0.020717
0.074897,-12.109951,67.264154,7.423777,7.800536,-31.063963,282.197454,5.951024,5.156113,6.195227,3.031955,0.044091,0.020930
0.079058,-12.182615,67.383994,7.525273,7.963025,-31.089374,282.330866,6.056751,5.188374,6.195451,3.031918,0.044763,0.021290
0.083219,-12.301639,66.977514,7.433511,7.948734,-31.147736,282.333581,6.094548,5.175780,6.195896,3.031715,0.044461,0.021420
0.087380,-12.539053,67.218730,7.234125,7.905481,-30.926352,282.151414,6.023048,5.304638,6.197844,3.032419,0.043641,0.021192
0.091541,-12.222117,67.167434,7.445761,7.834924,-30.815244,282.091888,6.161534,5.479783,6.196890,3.032786,0.044796,0.021686
0.095702,-12.313619,67.034154,7.409337,7.827816,-30.793498,282.197402,6.184923,5.401965,6.197508,3.032902,0.044687,0.021757
0.099863,-12.222117,67.167434,7.445761,7.834924,-30.451038,282.536243,5.991678,5.453667,6.198746,3.034230,0.044217,0.021064
0.104024,-12.167370,66.509524,7.510643,7.915567,-30.415194,282.366062,5.979131,5.178317,6.198849,3.034291,0.044311,0.021023
